번호,종목명,평가액 (억원),자산군 내 비중, 지분율
2371,RYERSON HOLDING CORP,28 ,0.00%,0.20%
2372,TISCO FINANCIAL GROUP NVDR,28 ,0.00%,0.10%
2373,GENWORTH FINANCIAL INC CL A,28 ,0.00%,0.09%
2374,GOLDEN OCEAN GROUP LTD,28 ,0.00%,0.13%
2375,MACROMILL INC,28 ,0.00%,0.69%
2376,RUBIS,28 ,0.00%,0.08%
2377,YIHAI INTERNATIONAL HOLDING,28 ,0.00%,0.06%
2378,CHINA CINDA ASSET MANAGEME H,28 ,0.00%,0.12%
2379,ATOSS SOFTWARE AG,28 ,0.00%,0.19%
2380,BERGER PAINTS INDIA LTD,28 ,0.00%,0.03%
2381,KOSAIDO HOLDINGS CO LTD,28 ,0.00%,0.48%
2382,THAI OIL PCL NVDR,28 ,0.00%,0.06%
2383,HAITONG SECURITIES CO LTD H,28 ,0.00%,0.11%
2384,JOYY INC ADR,28 ,0.00%,0.13%
2385,KENNEDY WILSON HOLDINGS INC,28 ,0.00%,0.10%
2386,CHINA EVERBRIGHT ENVIRONMENT,28 ,0.00%,0.08%
2387,ENOVIS CORP,28 ,0.00%,0.08%
2388,VIRGIN MONEY UK PLC,28 ,0.00%,0.07%
2389,CLEVELAND CLIFFS INC,28 ,0.00%,0.03%
2390,PTC THERAPEUTICS INC,28 ,0.00%,0.08%
2391,CIA DE MINAS BUENAVENTUR ADR,28 ,0.00%,0.11%
2392,KAGA ELECTRONICS CO LTD,28 ,0.00%,0.25%
2393,H+E EQUIPMENT SERVICES INC,28 ,0.00%,0.13%
2394,INTER RAO UES PJSC,28 ,0.00%,0.04%
2395,MDU RESOURCES GROUP INC,28 ,0.00%,0.04%
2396,AAC TECHNOLOGIES HOLDINGS IN,28 ,0.00%,0.08%
2397,3SBIO INC,28 ,0.00%,0.08%
2398,CMOC GROUP LTD H,28 ,0.00%,0.12%
2399,DAR AL ARKAN REAL ESTATE DEV,28 ,0.00%,0.06%
2400,CITIZEN WATCH CO LTD,27 ,0.00%,0.16%
2401,KAMAN CORP,27 ,0.00%,0.35%
2402,INDO TAMBANGRAYA MEGAH TBK P,27 ,0.00%,0.08%
2403,HEXPOL AB,27 ,0.00%,0.06%
2404,CUMMINS INDIA LTD,27 ,0.00%,0.05%
2405,CARNIVAL CORP,27 ,0.00%,0.02%
2406,ANHUI GUJING DISTILLERY CO B,27 ,0.00%,0.11%
2407,PING AN BANK CO LTD A,27 ,0.00%,0.01%
2408,SPIRENT COMMUNICATIONS PLC,27 ,0.00%,0.11%
2409,BARWA REAL ESTATE CO,27 ,0.00%,0.07%
2410,SHANGHAI FOSUN PHARMACEUTI H,27 ,0.00%,0.12%
2411,HEKTAS TICARET T.A.S,27 ,0.00%,0.04%
2412,TELEFONICA DEUTSCHLAND HOLDI,27 ,0.00%,0.03%
2413,BLUESCOPE STEEL LTD,27 ,0.00%,0.04%
2414,NIEN MADE ENTERPRISE CO LTD,27 ,0.00%,0.08%
2415,USS CO LTD,27 ,0.00%,0.05%
2416,CHINA THREE GORGES RENEWAB A,27 ,0.00%,0.01%
2417,STANLEY ELECTRIC CO LTD,27 ,0.00%,0.06%
2418,SVENSKA CELLULOSA AB SCA B,27 ,0.00%,0.03%
2419,MUTHOOT FINANCE LTD,27 ,0.00%,0.04%
2420,COCA COLA FEMSA SAB SP ADR,27 ,0.00%,0.06%
2421,MYTILINEOS S.A.,27 ,0.00%,0.07%
2422,SHEDE SPIRITS CO LTD A,27 ,0.00%,0.03%
2423,ABB INDIA LTD,27 ,0.00%,0.03%
2424,INNOVIVA INC,27 ,0.00%,0.23%
2425,CHINA COMMUNICATIONS SERVI H,27 ,0.00%,0.24%
2426,EASTERLY GOVERNMENT PROPERTI,27 ,0.00%,0.16%
2427,BLUEPRINT MEDICINES CORP,27 ,0.00%,0.08%
2428,NAVIGATOR CO SA/THE,27 ,0.00%,0.08%
2429,KIATNAKIN PHATRA BANK P NVDR,27 ,0.00%,0.12%
2430,SARANA MENARA NUSANTARA PT,27 ,0.00%,0.06%
2431,MIDEA GROUP CO LTD A,27 ,0.00%,0.00%
2432,EXEO GROUP INC,27 ,0.00%,0.11%
2433,ELECOM CO LTD,27 ,0.00%,0.22%
2434,HOME PRODUCT CENTER PCL NVDR,27 ,0.00%,0.04%
2435,AUSTEVOLL SEAFOOD ASA,26 ,0.00%,0.11%
2436,INDORAMA VENTURES FOREIGN,26 ,0.00%,0.03%
2437,ATACADAO SA,26 ,0.00%,0.04%
2438,ENCORE CAPITAL GROUP INC,26 ,0.00%,0.19%
2439,MOBILEZONE HOLDING AG REG,26 ,0.00%,0.28%
2440,KILROY REALTY CORP,26 ,0.00%,0.05%
2441,IPSEN,26 ,0.00%,0.02%
2442,SIIX CORP,26 ,0.00%,0.43%
2443,FALABELLA SA,26 ,0.00%,0.04%
2444,SAPUTO INC,26 ,0.00%,0.02%
2445,CHINA UNITED NETWORK A,26 ,0.00%,0.01%
2446,ROKU INC,26 ,0.00%,0.04%
2447,PETRONAS DAGANGAN BHD,26 ,0.00%,0.04%
2448,GF SECURITIES CO LTD H,26 ,0.00%,0.08%
2449,KFORCE INC,26 ,0.00%,0.18%
2450,BANGCHAK CORP PCL NVDR,26 ,0.00%,0.17%
2451,GRACO INC,26 ,0.00%,0.02%
2452,SG HOLDINGS CO LTD,26 ,0.00%,0.02%
2453,EQUITY COMMONWEALTH,26 ,0.00%,0.07%
2454,HKT TRUST AND HKT LTD SS,26 ,0.00%,0.02%
2455,CHINA MOBILE LTD A,26 ,0.00%,0.02%
2456,NU HOLDINGS LTD/CAYMAN ISL A,26 ,0.00%,0.01%
2457,INDOFOOD CBP SUKSES MAKMUR T,26 ,0.00%,0.03%
2458,WINNING HEALTH TECHNOLOGY A,26 ,0.00%,0.06%
2459,TRONOX HOLDINGS PLC,26 ,0.00%,0.10%
2460,HARMONIC INC,26 ,0.00%,0.15%
2461,PRESS KOGYO CO LTD,26 ,0.00%,0.58%
2462,SHANGHAI BAOSIGHT SOFTWARE B,26 ,0.00%,0.13%
2463,TRANSMEDICS GROUP INC,26 ,0.00%,0.10%
2464,WIN SEMICONDUCTORS CORP,26 ,0.00%,0.11%
2465,EDP   ENERGIAS DO BRASIL SA,26 ,0.00%,0.09%
2466,BURBERRY GROUP PLC,25 ,0.00%,0.02%
2467,INDAH KIAT PULP + PAPER TBK,25 ,0.00%,0.07%
2468,HEALTHCARE REALTY TRUST INC,25 ,0.00%,0.03%
2469,ATRICURE INC,25 ,0.00%,0.10%
2470,LEVI STRAUSS + CO  CLASS A,25 ,0.00%,0.13%
2471,INDRAPRASTHA GAS LTD,25 ,0.00%,0.06%
2472,TEXTAINER GROUP HOLDINGS LTD,25 ,0.00%,0.14%
2473,GLOBAL SHIP LEASE INC CL A,25 ,0.00%,0.33%
2474,MOBILE TELESYSTEMS PUBLIC JO,25 ,0.00%,0.04%
2475,MITSUBISHI GAS CHEMICAL CO,25 ,0.00%,0.07%
2476,NGK INSULATORS LTD,25 ,0.00%,0.05%
2477,LUFAX HOLDING LTD ADR,25 ,0.00%,0.04%
2478,HOME PRODUCT CENTER PCL FOR,25 ,0.00%,0.03%
2479,UNITY SOFTWARE INC,25 ,0.00%,0.02%
2480,FORTERRA PLC,25 ,0.00%,0.41%
2481,CELLDEX THERAPEUTICS INC,25 ,0.00%,0.09%
2482,MINOR INTERNATIONAL PCL NVDR,25 ,0.00%,0.04%
2483,LIBERTY MEDIA COR SIRIUSXM C,25 ,0.00%,0.02%
2484,YAMADA HOLDINGS CO LTD,25 ,0.00%,0.06%
2485,SHOCKWAVE MEDICAL INC,25 ,0.00%,0.03%
2486,FOCUS MEDIA INFORMATION TE A,25 ,0.00%,0.01%
2487,XTEP INTERNATIONAL HOLDINGS,25 ,0.00%,0.07%
2488,BARRY CALLEBAUT AG REG,25 ,0.00%,0.02%
2489,PUBLIC POWER CORP,25 ,0.00%,0.07%
2490,COSCO SHIPPING HOLDINGS CO A,25 ,0.00%,0.01%
2491,NEW CHINA LIFE INSURANCE C A,25 ,0.00%,0.02%
2492,FREENET AG,25 ,0.00%,0.08%
2493,JENOPTIK AG,25 ,0.00%,0.12%
2494,PRIMAX ELECTRONICS LTD,25 ,0.00%,0.24%
2495,NCC GROUP PLC,25 ,0.00%,0.26%
2496,CHINA PETROLEUM + CHEMICAL A,25 ,0.00%,0.00%
2497,ISHARES CORE MSCI EMERGING MAR,25 ,0.00%,0.00%
2498,NOVOCURE LTD,25 ,0.00%,0.03%
2499,ALMIRALL SA,25 ,0.00%,0.11%
2500,BARNES GROUP INC,25 ,0.00%,0.09%
2501,PATRICK INDUSTRIES INC,24 ,0.00%,0.14%
2502,SCHRODERS PLC,24 ,0.00%,0.02%
2503,CAVCO INDUSTRIES INC,24 ,0.00%,0.10%
2504,CHONGQING ZHIFEI BIOLOGICA A,24 ,0.00%,0.01%
2505,MITSUBISHI RESEARCH INSTITUT,24 ,0.00%,0.32%
2506,PERFICIENT INC,24 ,0.00%,0.08%
2507,ORION OYJ CLASS B,24 ,0.00%,0.03%
2508,ESAB CORP,24 ,0.00%,0.07%
2509,STRABAG SE,24 ,0.00%,0.00%
2510,INTOUCH HOLDINGS PCL NVDR,24 ,0.00%,0.03%
2511,CYFROWY POLSAT SA,24 ,0.00%,0.10%
2512,BGC PARTNERS INC CL A,24 ,0.00%,0.16%
2513,AVIENT CORP,24 ,0.00%,0.06%
2514,CRRC CORP LTD A,24 ,0.00%,0.01%
2515,LYNAS RARE EARTHS LTD,24 ,0.00%,0.04%
2516,BRUNSWICK CORP,24 ,0.00%,0.04%
2517,AMERICAN AIRLINES GROUP INC,24 ,0.00%,0.02%
2518,POP MART INTERNATIONAL GROUP,24 ,0.00%,0.05%
2519,CPFL ENERGIA SA,24 ,0.00%,0.03%
2520,NEWS CORP   CLASS A,24 ,0.00%,0.03%
2521,C+D INTERNATIONAL INVESTMENT,24 ,0.00%,0.04%
2522,BEIJING CAPITAL INTL AIRPO H,24 ,0.00%,0.14%
2523,NATURGY ENERGY GROUP SA,24 ,0.00%,0.01%
2524,PERSIMMON PLC,24 ,0.00%,0.04%
2525,NATIONAL BANK HOLD CL A,24 ,0.00%,0.12%
2526,MULTIPLAN EMPREENDIMENTOS,24 ,0.00%,0.08%
2527,JAPAN EXCHANGE GROUP INC,24 ,0.00%,0.02%
2528,ASPEN TECHNOLOGY INC,24 ,0.00%,0.01%
2529,WANGSU SCIENCE + TECHNOLOG A,24 ,0.00%,0.10%
2530,ENEL CHILE SA,24 ,0.00%,0.06%
2531,AEON FINANCIAL SERVICE CO LT,24 ,0.00%,0.08%
2532,FLUIDRA SA,24 ,0.00%,0.06%
2533,GRAINCORP LTD A,24 ,0.00%,0.16%
2534,UBISOFT ENTERTAINMENT,23 ,0.00%,0.05%
2535,ALPS ALPINE CO LTD,23 ,0.00%,0.09%
2536,QINGHAI SALT LAKE INDUSTRY A,23 ,0.00%,0.01%
2537,FORTUM OYJ,23 ,0.00%,0.01%
2538,NEXANS SA,23 ,0.00%,0.05%
2539,CHAROEN POKPHAND FOODS NVDR,23 ,0.00%,0.03%
2540,RABIGH REFINING AND PETROCHE,23 ,0.00%,0.04%
2541,BARITO PACIFIC TBK PT,23 ,0.00%,0.04%
2542,OBIC CO LTD,23 ,0.00%,0.01%
2543,ARABIAN INTERNET + COMMUNICA,23 ,0.00%,0.02%
2544,PING AN INSURANCE GROUP CO A,23 ,0.00%,0.00%
2545,JAMES HARDIE INDUSTRIES CDI,23 ,0.00%,0.02%
2546,ZHAOJIN MINING INDUSTRY   H,23 ,0.00%,0.06%
2547,ITALGAS SPA,23 ,0.00%,0.04%
2548,VIRTU FINANCIAL INC CLASS A,23 ,0.00%,0.09%
2549,IAA INC,23 ,0.00%,0.03%
2550,INTOUCH HOLDINGS PCL F,23 ,0.00%,0.03%
2551,QL RESOURCES BHD,23 ,0.00%,0.06%
2552,PUREGOLD PRICE CLUB INC,23 ,0.00%,0.10%
2553,CHONGQING CHANGAN AUTOMOB A,23 ,0.00%,0.01%
2554,THK CO LTD,23 ,0.00%,0.07%
2555,SWISSQUOTE GROUP HOLDING REG,23 ,0.00%,0.08%
2556,CHAMPIONX CORP,23 ,0.00%,0.03%
2557,MIRVAC GROUP,23 ,0.00%,0.03%
2558,MOMO.COM INC,23 ,0.00%,0.04%
2559,BIOCON LTD,23 ,0.00%,0.05%
2560,WISDOM MARINE LINES CO LTD,23 ,0.00%,0.12%
2561,CHINA OVERSEAS PROPERTY HOLD,23 ,0.00%,0.05%
2562,WH SMITH PLC,23 ,0.00%,0.08%
2563,ADVANCED PETROCHEMICALS CO,23 ,0.00%,0.06%
2564,TOP GLOVE CORP BHD,22 ,0.00%,0.11%
2565,WENS FOODSTUFFS GROUP CO   A,22 ,0.00%,0.01%
2566,CHINA JINMAO HOLDINGS GROUP,22 ,0.00%,0.06%
2567,LIBERTY LATIN AMERIC CL C,22 ,0.00%,0.14%
2568,PTT OIL + RETAIL BUS FOREIGN,22 ,0.00%,0.02%
2569,CONVERGE INFORMATION AND COM,22 ,0.00%,0.09%
2570,MEIJI HOLDINGS CO LTD,22 ,0.00%,0.02%
2571,VISTRY GROUP PLC,22 ,0.00%,0.07%
2572,MOHAWK INDUSTRIES INC,22 ,0.00%,0.03%
2573,CHINA RAILWAY GROUP LTD A,22 ,0.00%,0.01%
2574,BENTLEY SYSTEMS INC CLASS B,22 ,0.00%,0.02%
2575,ELASTIC NV,22 ,0.00%,0.04%
2576,HOPE BANCORP INC,22 ,0.00%,0.11%
2577,YELP INC,22 ,0.00%,0.09%
2578,ARGENX SE,22 ,0.00%,0.01%
2579,SENSATA TECHNOLOGIES HOLDING,22 ,0.00%,0.03%
2580,MONDI PLC,22 ,0.00%,0.02%
2581,HEALTHCARE SERVICES GROUP,22 ,0.00%,0.20%
2582,PACIFIC PREMIER BANCORP INC,22 ,0.00%,0.06%
2583,NINGBO DEYE TECHNOLOGY CO  A,22 ,0.00%,0.02%
2584,AXONICS INC,22 ,0.00%,0.06%
2585,AMERICOLD REALTY TRUST INC,22 ,0.00%,0.02%
2586,CHINA EVERBRIGHT BANK CO A,22 ,0.00%,0.01%
2587,WISETECH GLOBAL LTD,22 ,0.00%,0.02%
2588,NISSAN MOTOR CO LTD,22 ,0.00%,0.01%
2589,CIE FINANCIERE RICHEMO A REG,22 ,0.00%,0.00%
2590,AKR CORPORINDO TBK PT,22 ,0.00%,0.10%
2591,PING AN HEALTHCARE AND TECHN,22 ,0.00%,0.06%
2592,ESSENTRA PLC,22 ,0.00%,0.20%
2593,BANGKOK EXPRESSWAY AND M FOR,22 ,0.00%,0.04%
2594,PLUG POWER INC,22 ,0.00%,0.02%
2595,PEPCO GROUP NV,22 ,0.00%,0.03%
2596,CHINA RESOURCES CEMENT,22 ,0.00%,0.05%
2597,AICA KOGYO CO LTD,22 ,0.00%,0.11%
2598,POLYUS PJSC,22 ,0.00%,0.01%
2599,DALLAH HEALTHCARE CO,22 ,0.00%,0.05%
2600,HARTALEGA HOLDINGS BHD,22 ,0.00%,0.13%
2601,EMIRATES CENTRAL COOLING SYS,22 ,0.00%,0.04%
2602,SAVILLS PLC,22 ,0.00%,0.12%
2603,GULF BANK,22 ,0.00%,0.05%
2604,OPERADORA DE SITES MEX  A 1,21 ,0.00%,0.05%
2605,RONGSHENG PETROCHEMICAL CO A,21 ,0.00%,0.01%
2606,INGLES MARKETS INC CLASS A,21 ,0.00%,0.12%
2607,EURONET WORLDWIDE INC,21 ,0.00%,0.04%
2608,ENDEAVOUR MINING PLC,21 ,0.00%,0.03%
2609,TIANQI LITHIUM CORP A,21 ,0.00%,0.01%
2610,BW OFFSHORE LTD,21 ,0.00%,0.36%
2611,COINBASE GLOBAL INC  CLASS A,21 ,0.00%,0.03%
2612,KAISER ALUMINUM CORP,21 ,0.00%,0.14%
2613,MATADOR RESOURCES CO,21 ,0.00%,0.02%
2614,WEIBO CORP SPON ADR,21 ,0.00%,0.06%
2615,POSTAL SAVINGS BANK OF CHI A,21 ,0.00%,0.00%
2616,JA SOLAR TECHNOLOGY CO LTD A,21 ,0.00%,0.01%
2617,PICC HOLDING CO A,21 ,0.00%,0.01%
2618,DKSH HOLDING AG,21 ,0.00%,0.03%
2619,VIPER ENERGY PARTNERS LP,21 ,0.00%,0.07%
2620,CHINA TRADITIONAL CHINESE ME,21 ,0.00%,0.07%
2621,COUSINS PROPERTIES INC,21 ,0.00%,0.04%
2622,ALPHATEC HOLDINGS INC,21 ,0.00%,0.13%
2623,MANILA ELECTRIC COMPANY,21 ,0.00%,0.03%
2624,SHENZHEN INTL HOLDINGS,21 ,0.00%,0.07%
2625,AU SMALL FINANCE BANK LTD,21 ,0.00%,0.03%
2626,LUNDIN MINING CORP,21 ,0.00%,0.03%
2627,ORGANON + CO,21 ,0.00%,0.02%
2628,SPAR GROUP LIMITED/THE,21 ,0.00%,0.13%
2629,BANGKOK EXPRESSWAY NVDR,21 ,0.00%,0.04%
2630,AXON ENTERPRISE INC,21 ,0.00%,0.01%
2631,YUNNAN ENERGY NEW MATERIAL A,21 ,0.00%,0.01%
2632,AXFOOD AB,21 ,0.00%,0.03%
2633,RATHBONES GROUP PLC,21 ,0.00%,0.11%
2634,SOVOS BRANDS INC,21 ,0.00%,0.11%
2635,LEONARDO DRS INC,21 ,0.00%,0.05%
2636,OPEN UP GROUP INC,21 ,0.00%,0.14%
2637,NATIONAL INDUSTRIALIZATION C,21 ,0.00%,0.07%
2638,CHINA LESSO GROUP HOLDINGS L,21 ,0.00%,0.05%
2639,LESLIE S INC,21 ,0.00%,0.07%
2640,MOBILE TELESYSTEMS PUBLIC JO,21 ,0.00%,0.03%
2641,TOYODA GOSEI CO LTD,21 ,0.00%,0.08%
2642,CHINA SOUTHERN AIRLINES CO H,21 ,0.00%,0.05%
2643,SHANGHAI PHARMACEUTICALS H,21 ,0.00%,0.11%
2644,EXLSERVICE HOLDINGS INC,21 ,0.00%,0.03%
2645,SHANDONG GOLD MINING CO LT H,21 ,0.00%,0.10%
2646,ALCHIP TECHNOLOGIES LTD,21 ,0.00%,0.09%
2647,SIRIUS XM HOLDINGS INC,21 ,0.00%,0.01%
2648,NETSTREIT CORP,21 ,0.00%,0.16%
2649,CAPITAL POWER CORP,21 ,0.00%,0.04%
2650,CHINA RUYI HOLDINGS LTD,21 ,0.00%,0.06%
2651,VOPAK,21 ,0.00%,0.04%
2652,SHENZHEN NEW INDUSTRIES BI A,21 ,0.00%,0.03%
2653,DELUXE CORP,20 ,0.00%,0.22%
2654,SANY HEAVY EQUIPMENT INTL,20 ,0.00%,0.05%
2655,CHINA EVERBRIGHT BANK CO L H,20 ,0.00%,0.04%
2656,UNITED ARROWS LTD,20 ,0.00%,0.38%
2657,AECC AVIATION POWER CO A,20 ,0.00%,0.01%
2658,APERAM,20 ,0.00%,0.06%
2659,AMERICANAS SA,20 ,0.00%,0.10%
2660,TAKEUCHI MFG CO LTD,20 ,0.00%,0.15%
2661,BANK OF CHINA LTD A,20 ,0.00%,0.00%
2662,SOLAR A/S B SHS,20 ,0.00%,0.28%
2663,GRUPO AEROPORTUARIO SUR ADR,20 ,0.00%,0.02%
2664,TORISHIMA PUMP MFG CO LTD,20 ,0.00%,0.51%
2665,INTERMEDIATE CAPITAL GROUP,20 ,0.00%,0.04%
2666,BRUKER CORP,20 ,0.00%,0.02%
2667,CHEGG INC,20 ,0.00%,0.05%
2668,FORMOSA SUMCO TECHNOLOGY COR,20 ,0.00%,0.09%
2669,PTT OIL + RETAIL BUSINE NVDR,20 ,0.00%,0.02%
2670,GLORY LTD,20 ,0.00%,0.15%
2671,INSPERITY INC,20 ,0.00%,0.04%
2672,NICHIAS CORP,20 ,0.00%,0.13%
2673,OSOTSPA PCL NVDR,20 ,0.00%,0.06%
2674,XP INC   CLASS A,20 ,0.00%,0.02%
2675,OSHKOSH CORP,20 ,0.00%,0.03%
2676,VALE INDONESIA TBK,20 ,0.00%,0.03%
2677,TETHYS OIL AB,20 ,0.00%,0.82%
2678,TRYG A/S,20 ,0.00%,0.01%
2679,TSINGTAO BREWERY CO LTD A,20 ,0.00%,0.01%
2680,AIR NEW ZEALAND LTD,20 ,0.00%,0.10%
2681,RIVIAN AUTOMOTIVE INC A,20 ,0.00%,0.01%
2682,TECHNOLOGY ONE LTD,20 ,0.00%,0.05%
2683,GLOBE TELECOM INC,20 ,0.00%,0.03%
2684,CIA SUD AMERICANA DE VAPORES,20 ,0.00%,0.04%
2685,CHINA MINSHENG BANKING A,20 ,0.00%,0.01%
2686,BEIJING ENTERPRISES WATER GR,20 ,0.00%,0.06%
2687,TRUE CORP PCL FOREIGN,20 ,0.00%,0.03%
2688,NAPCO SECURITY TECHNOLOGIES,20 ,0.00%,0.15%
2689,TRANSMISSORA ALIANCA DE UNIT,20 ,0.00%,0.07%
2690,PIGEON CORP,20 ,0.00%,0.08%
2691,ANHUI CONCH CEMENT CO LTD A,20 ,0.00%,0.01%
2692,NHK SPRING CO LTD,20 ,0.00%,0.10%
2693,BEIJING KINGSOFT OFFICE SO A,20 ,0.00%,0.01%
2694,OPPEIN HOME GROUP INC A,20 ,0.00%,0.01%
2695,PROCEPT BIOROBOTICS CORP,20 ,0.00%,0.08%
2696,RHEON AUTOMATIC MACHINERY,20 ,0.00%,0.67%
2697,SM ENERGY CO,20 ,0.00%,0.04%
2698,NEXTIER OILFIELD SOLUTIONS I,20 ,0.00%,0.07%
2699,COPA HOLDINGS SA CLASS A,20 ,0.00%,0.06%
2700,OSG CORP,19 ,0.00%,0.11%
2701,GETINGE AB B SHS,19 ,0.00%,0.03%
2702,CHINA NATIONAL NUCLEAR POW A,19 ,0.00%,0.01%
2703,A2 MILK CO LTD,19 ,0.00%,0.04%
2704,INMOBILIARIA COLONIAL SOCIMI,19 ,0.00%,0.04%
2705,BYD CO LTD  A,19 ,0.00%,0.00%
2706,PREMIER FINANCIAL CORP,19 ,0.00%,0.16%
2707,BIPROGY INC,19 ,0.00%,0.05%
2708,ZHEJIANG SANHUA INTELLIGEN A,19 ,0.00%,0.01%
2709,TORO CO,19 ,0.00%,0.01%
2710,ACEN CORP,19 ,0.00%,0.03%
2711,TCL ZHONGHUAN RENEWABLE EN A,19 ,0.00%,0.01%
2712,KINDRED GROUP PLC,19 ,0.00%,0.06%
2713,ATCO LTD  CLASS I,19 ,0.00%,0.05%
2714,UMH PROPERTIES INC,19 ,0.00%,0.17%
2715,MONETA MONEY BANK AS,19 ,0.00%,0.09%
2716,AVICHINA INDUSTRY + TECH H,19 ,0.00%,0.05%
2717,MOBILE TELECOMMUNICATIONS CO,19 ,0.00%,0.06%
2718,GANFENG LITHIUM GROUP CO L A,19 ,0.00%,0.01%
2719,CHINA RAILWAY GROUP LTD A,19 ,0.00%,0.01%
2720,PETROCHINA CO LTD A,19 ,0.00%,0.00%
2721,BEIJING HUAFENG TEST + CON A,19 ,0.00%,0.04%
2722,EMPYREAN TECHNOLOGY CO LTD A,19 ,0.00%,0.02%
2723,CHINA MEIDONG AUTO HOLDINGS,19 ,0.00%,0.06%
2724,UNIGROUP GUOXIN MICROELECT A,19 ,0.00%,0.01%
2725,POLYMETAL INTERNATIONAL PLC,19 ,0.00%,0.06%
2726,NAURA TECHNOLOGY GROUP CO A,19 ,0.00%,0.01%
2727,UBICOM HOLDINGS INC,19 ,0.00%,0.74%
2728,IMEIK TECHNOLOGY DEVELOPME A,19 ,0.00%,0.01%
2729,GEOVIS TECHNOLOGY CO LTD A,19 ,0.00%,0.07%
2730,JDE PEET S NV,19 ,0.00%,0.01%
2731,PACIFIC METALS CO LTD,19 ,0.00%,0.53%
2732,SARTORIUS STEDIM BIOTECH,19 ,0.00%,0.00%
2733,KANSAI ELECTRIC POWER CO INC,19 ,0.00%,0.02%
2734,GAZPROM PJSC,19 ,0.00%,0.00%
2735,FORBO HOLDING AG REG,19 ,0.00%,0.08%
2736,CHENGDU HONGQI CHAIN CO LT A,19 ,0.00%,0.13%
2737,JCET GROUP CO LTD A,19 ,0.00%,0.02%
2738,DANA INC,19 ,0.00%,0.07%
2739,POWER CONSTRUCTION CORP OF A,19 ,0.00%,0.01%
2740,CHONGQING CHANGAN AUTOMOB A,19 ,0.00%,0.01%
2741,TENNANT CO,19 ,0.00%,0.13%
2742,BRASKEM SA PREF A,19 ,0.00%,0.09%
2743,CSC FINANCIAL CO LTD A,19 ,0.00%,0.01%
2744,ZHEJIANG EXPRESSWAY CO H,19 ,0.00%,0.13%
2745,MEDIBANK PRIVATE LTD,19 ,0.00%,0.03%
2746,JIANGSU EXPRESS CO LTD H,19 ,0.00%,0.13%
2747,ESSENT GROUP LTD,19 ,0.00%,0.03%
2748,FULLCAST HOLDINGS CO LTD,18 ,0.00%,0.18%
2749,CHOCOLADEFABRIKEN LINDT PC,18 ,0.00%,0.01%
2750,KINGSPAN GROUP PLC,18 ,0.00%,0.01%
2751,THONBURI HEALTHCARE GRO NVDR,18 ,0.00%,0.09%
2752,ISRAEL DISCOUNT BANK A,18 ,0.00%,0.02%
2753,H WORLD GROUP LTD,18 ,0.00%,0.01%
2754,MALAYSIA AIRPORTS HLDGS BHD,18 ,0.00%,0.06%
2755,CHOCOLADEFABRIKEN LINDT REG,18 ,0.00%,0.01%
2756,X 5 RETAIL GROUP NV REGS GDR,18 ,0.00%,0.03%
2757,NAGASE + CO LTD,18 ,0.00%,0.08%
2758,TELE2 AB B SHS,18 ,0.00%,0.03%
2759,TRUWORTHS INTERNATIONAL LTD,18 ,0.00%,0.11%
2760,ASE TECHNOLOGY HOLDING  ADR,18 ,0.00%,0.01%
2761,DAQIN RAILWAY CO LTD  A,18 ,0.00%,0.01%
2762,LEOVEGAS AB,18 ,0.00%,0.24%
2763,ZILLOW GROUP INC   C,18 ,0.00%,0.03%
2764,VALVOLINE INC,18 ,0.00%,0.03%
2765,HANNON ARMSTRONG SUSTAINABLE,18 ,0.00%,0.06%
2766,JIANGSU DINGSHENG NEW ENER A,18 ,0.00%,0.05%
2767,TAIHEI DENGYO KAISHA LTD,18 ,0.00%,0.28%
2768,ANHUI GUJING DISTILLERY CO A,18 ,0.00%,0.01%
2769,MR DIY GROUP M BHD,18 ,0.00%,0.03%
2770,ECOVYST INC,18 ,0.00%,0.12%
2771,CHINA CSSC HOLDINGS LTD A,18 ,0.00%,0.01%
2772,ASAHI KASEI CORP,18 ,0.00%,0.01%
2773,POWERSCHOOL HOLDINGS INC A,18 ,0.00%,0.04%
2774,BANCO DE SABADELL SA,18 ,0.00%,0.03%
2775,XINYI GLASS HOLDINGS LTD,18 ,0.00%,0.02%
2776,GUOTAI JUNAN SECURITIES CO A,18 ,0.00%,0.01%
2777,THAI BEVERAGE PCL,18 ,0.00%,0.01%
2778,BANK OF JIANGSU CO LTD A,18 ,0.00%,0.01%
2779,KAKEN PHARMACEUTICAL CO LTD,18 ,0.00%,0.10%
2780,ELANCO ANIMAL HEALTH INC,18 ,0.00%,0.02%
2781,SUMCO CORP,18 ,0.00%,0.03%
2782,G BITS NETWORK TECHNOLOGY A,18 ,0.00%,0.04%
2783,MONDE NISSIN CORP,18 ,0.00%,0.04%
2784,BANK OF NANJING CO LTD  A,18 ,0.00%,0.01%
2785,BTS GROUP HOLDINGS PCL FORGN,18 ,0.00%,0.04%
2786,MSC INDUSTRIAL DIRECT CO A,18 ,0.00%,0.04%
2787,LAND + HOUSES PUB CO FOR REG,18 ,0.00%,0.04%
2788,STONEX GROUP INC,17 ,0.00%,0.07%
2789,SAIC MOTOR CORP LTD A,17 ,0.00%,0.01%
2790,TATE + LYLE PLC,17 ,0.00%,0.04%
2791,TKH GROUP NV DUTCH CERT,17 ,0.00%,0.08%
2792,MBANK SA,17 ,0.00%,0.05%
